"filia";"for_what";"limit";"fact";"deviation";"date"
"ФК \МТМ\ Комунарського району";"транспортування тепла";15672;16145;3.0181214905564;"2021-12-02"
"ФК \МТМ\ Комунарського району";"загальновиробничі";552;522;-5.43478260869565;"2021-12-02"
"ФК \МТМ\ Дніпровського району";"виробництво тепла";7642;7800.8;2.07799005495948;"2021-12-02"
"ФК \МТМ\ Дніпровського району";"транспортування тепла";39076;40190;2.85085474460027;"2021-12-02"
"ФК \МТМ\ Дніпровського району";"загальновиробничі";260;260;0;"2021-12-02"
"ФК \МТМ\ Вознесенівського району";"виробництво тепла";11872;13014.9;9.62685309973041;"2021-12-02"
"ФК \МТМ\ Вознесенівського району";"транспортування тепла";65132;66456;2.03279493950745;"2021-12-02"
"ФК \МТМ\ Вознесенівського району";"загальновиробничі";358;358;0;"2021-12-02"
"ФК \МТМ\ Хортицького району";"виробництво тепла";6970;7131;2.30989956958394;"2021-12-02"
"ФК \МТМ\ Хортицького району";"транспортування тепла";29974;30963;3.2995262560886;"2021-12-02"
"ФК \МТМ\ Хортицького району";"загальновиробничі";456;456;0;"2021-12-02"
"ФК \МТМ\ Шевченківського район";"виробництво тепла";5098;5168.99999999992;1.39270302079091;"2021-12-02"
"ФК \МТМ\ Шевченківського район";"транспортування тепла";21826;21892;0.302391642994593;"2021-12-02"
"ФК \МТМ\ Шевченківського район";"загальновиробничі";265;265;0;"2021-12-02"
"ФК \МТМ\ Олександрівського району";"виробництво тепла";6605;6696.40000000039;1.38380015140631;"2021-12-03"
"ФК \МТМ\ Олександрівського району";"транспортування тепла";43225;43297;0.166570271833422;"2021-12-03"
"ФК \МТМ\ Олександрівського району";"загальновиробничі";208;208;0;"2021-12-03"
"ФК \МТМ\ Заводського району";"виробництво тепла";4452;4514.59999999989;1.40610961365435;"2021-12-03"
"ФК \МТМ\ Заводського району";"транспортування тепла";10123;10190;0.661859132668186;"2021-12-03"
"ФК \МТМ\ Заводського району";"загальновиробничі";522;522;0;"2021-12-03"
"ФК \МТМ\ Комунарського району";"виробництво тепла";5585;5648.6000000008;1.13876454791046;"2021-12-03"
"ФК \МТМ\ Комунарського району";"транспортування тепла";15672;16145;3.0181214905564;"2021-12-03"
"ФК \МТМ\ Комунарського району";"загальновиробничі";552;522;-5.43478260869565;"2021-12-03"
"ФК \МТМ\ Дніпровського району";"виробництво тепла";7242;7637.19999999994;5.45705606186051;"2021-12-03"
"ФК \МТМ\ Дніпровського району";"транспортування тепла";39076;40190;2.85085474460027;"2021-12-03"
"ФК \МТМ\ Дніпровського району";"загальновиробничі";260;260;0;"2021-12-03"
"ФК \МТМ\ Вознесенівського району";"виробництво тепла";11872;12018.7000000005;1.23568059299606;"2021-12-03"
"ФК \МТМ\ Вознесенівського району";"транспортування тепла";65132;66456;2.03279493950745;"2021-12-03"
"ФК \МТМ\ Вознесенівського району";"загальновиробничі";358;358;0;"2021-12-03"
"ФК \МТМ\ Хортицького району";"виробництво тепла";6770;6970.99999999956;2.96898079763019;"2021-12-03"
"ФК \МТМ\ Хортицького району";"транспортування тепла";29974;30963;3.2995262560886;"2021-12-03"
"ФК \МТМ\ Хортицького району";"загальновиробничі";456;456;0;"2021-12-03"
"ФК \МТМ\ Шевченківського район";"виробництво тепла";5098;5169.00000000023;1.39270302079704;"2021-12-03"
"ФК \МТМ\ Шевченківського район";"транспортування тепла";21826;21892;0.302391642994593;"2021-12-03"
"ФК \МТМ\ Шевченківського район";"загальновиробничі";265;265;0;"2021-12-03"
"ФК \МТМ\ Олександрівського району";"виробництво тепла";6486;6499.60000000008;0.209682392847332;"2021-12-04"
"ФК \МТМ\ Олександрівського району";"транспортування тепла";43225;43297;0.166570271833422;"2021-12-04"
"ФК \МТМ\ Олександрівського району";"загальновиробничі";208;208;0;"2021-12-04"
"ФК \МТМ\ Заводського району";"виробництво тепла";4452;4560.8;2.44384546271337;"2021-12-04"
"ФК \МТМ\ Заводського району";"транспортування тепла";10123;10190;0.661859132668186;"2021-12-04"
"ФК \МТМ\ Заводського району";"загальновиробничі";522;522;0;"2021-12-04"
"ФК \МТМ\ Комунарського району";"виробництво тепла";5985;6053.79999999996;1.14954051796083;"2021-12-04"
"ФК \МТМ\ Комунарського району";"транспортування тепла";15672;16145;3.0181214905564;"2021-12-04"
"ФК \МТМ\ Комунарського району";"загальновиробничі";552;522;-5.43478260869565;"2021-12-04"
"ФК \МТМ\ Дніпровського району";"виробництво тепла";7842;8100.2;3.29252741647545;"2021-12-04"
"ФК \МТМ\ Дніпровського району";"транспортування тепла";39076;40190;2.85085474460027;"2021-12-04"
"ФК \МТМ\ Дніпровського району";"загальновиробничі";260;260;0;"2021-12-04"
"ФК \МТМ\ Вознесенівського району";"виробництво тепла";10972;11614.3;5.85399197958443;"2021-12-04"
"ФК \МТМ\ Вознесенівського району";"транспортування тепла";65132;66456;2.03279493950745;"2021-12-04"
"ФК \МТМ\ Вознесенівського району";"загальновиробничі";358;358;0;"2021-12-04"
"ФК \МТМ\ Хортицького району";"виробництво тепла";6770;7371;8.87740029542097;"2021-12-04"
"ФК \МТМ\ Хортицького району";"транспортування тепла";29974;30963;3.2995262560886;"2021-12-04"
"ФК \МТМ\ Хортицького району";"загальновиробничі";456;456;0;"2021-12-04"
"ФК \МТМ\ Шевченківського район";"виробництво тепла";5098;5288.9999999999;3.74656728128486;"2021-12-04"
"ФК \МТМ\ Шевченківського район";"транспортування тепла";21826;21892;0.302391642994593;"2021-12-04"
"ФК \МТМ\ Шевченківського район";"загальновиробничі";265;265;0;"2021-12-04"
"ФК \МТМ\ Олександрівського району";"виробництво тепла";7686;7777.19999999993;1.18657298985079;"2021-12-05"
"ФК \МТМ\ Олександрівського району";"транспортування тепла";43225;43297;0.166570271833422;"2021-12-05"
"ФК \МТМ\ Олександрівського району";"загальновиробничі";208;208;0;"2021-12-05"
"ФК \МТМ\ Заводського району";"виробництво тепла";4955;5136.8;3.66902119071644;"2021-12-05"
"ФК \МТМ\ Заводського району";"транспортування тепла";10123;10190;0.661859132668186;"2021-12-05"
"ФК \МТМ\ Заводського району";"загальновиробничі";522;522;0;"2021-12-05"
"ФК \МТМ\ Комунарського району";"виробництво тепла";5985;6112;2.12197159565581;"2021-12-05"
"ФК \МТМ\ Комунарського району";"транспортування тепла";15672;16145;3.0181214905564;"2021-12-05"
"ФК \МТМ\ Комунарського району";"загальновиробничі";552;522;-5.43478260869565;"2021-12-05"
"ФК \МТМ\ Дніпровського району";"виробництво тепла";7442;7747;4.0983606557377;"2021-12-05"
"ФК \МТМ\ Дніпровського району";"транспортування тепла";39076;40190;2.85085474460027;"2021-12-05"
"ФК \МТМ\ Дніпровського району";"загальновиробничі";260;260;0;"2021-12-05"
"ФК \МТМ\ Вознесенівського району";"виробництво тепла";11972;12563.9;4.9440360841964;"2021-12-05"
"ФК \МТМ\ Вознесенівського району";"транспортування тепла";65132;66456;2.03279493950745;"2021-12-05"
"ФК \МТМ\ Вознесенівського району";"загальновиробничі";358;358;0;"2021-12-05"
"ФК \МТМ\ Хортицького району";"виробництво тепла";7670;7851;2.35984354628422;"2021-12-05"
"ФК \МТМ\ Хортицького району";"транспортування тепла";29974;30963;3.2995262560886;"2021-12-05"
"ФК \МТМ\ Хортицького району";"загальновиробничі";456;456;0;"2021-12-05"
"ФК \МТМ\ Шевченківського район";"виробництво тепла";5098;5201.99999999999;2.0400156924282;"2021-12-05"
"ФК \МТМ\ Шевченківського район";"транспортування тепла";21826;21892;0.302391642994593;"2021-12-05"
"ФК \МТМ\ Шевченківського район";"загальновиробничі";265;265;0;"2021-12-05"
"ФК \МТМ\ Олександрівського району";"виробництво тепла";7610;7735.20000000008;1.64520367937036;"2021-12-06"
"ФК \МТМ\ Олександрівського району";"транспортування тепла";43532.7455583652;43597;0.147600250824187;"2021-12-06"
"ФК \МТМ\ Олександрівського району";"загальновиробничі";208;208;0;"2021-12-06"
"ФК \МТМ\ Заводського району";"виробництво тепла";4810;4918.6;2.25779625779627;"2021-12-06"
"ФК \МТМ\ Заводського району";"транспортування тепла";10123;10190;0.661859132668186;"2021-12-06"
"ФК \МТМ\ Заводського району";"загальновиробничі";522;522;0;"2021-12-06"
"ФК \МТМ\ Комунарського району";"виробництво тепла";8525;8702.2;2.07859237536658;"2021-12-06"
"ФК \МТМ\ Комунарського району";"транспортування тепла";15672;16145;3.0181214905564;"2021-12-06"
"ФК \МТМ\ Комунарського району";"загальновиробничі";552;522;-5.43478260869565;"2021-12-06"
"ФК \МТМ\ Дніпровського району";"виробництво тепла";7067;7259.40000000001;2.72251308900535;"2021-12-06"
"ФК \МТМ\ Дніпровського району";"транспортування тепла";39076;40190;2.85085474460027;"2021-12-06"
"ФК \МТМ\ Дніпровського району";"загальновиробничі";260;260;0;"2021-12-06"
"ФК \МТМ\ Вознесенівського району";"виробництво тепла";12252;12835.5;4.76248775710089;"2021-12-06"
"ФК \МТМ\ Вознесенівського району";"транспортування тепла";65132;66456;2.03279493950745;"2021-12-06"
"ФК \МТМ\ Вознесенівського району";"загальновиробничі";358;358;0;"2021-12-06"
"ФК \МТМ\ Хортицького району";"виробництво тепла";7084;7227;2.01863354037266;"2021-12-06"
"ФК \МТМ\ Хортицького району";"транспортування тепла";29974;30963;3.2995262560886;"2021-12-06"
"ФК \МТМ\ Хортицького району";"загальновиробничі";456;456;0;"2021-12-06"
"ФК \МТМ\ Шевченківського район";"виробництво тепла";4808;5057.99999999988;5.19966722129526;"2021-12-06"
"ФК \МТМ\ Шевченківського район";"транспортування тепла";21826;21892;0.302391642994593;"2021-12-06"
"ФК \МТМ\ Шевченківського район";"загальновиробничі";265;265;0;"2021-12-06"
"ФК \МТМ\ Олександрівського району";"виробництво тепла";6296;6400.40000000009;1.6581956797981;"2021-12-07"
"ФК \МТМ\ Олександрівського району";"транспортування тепла";43532.7455583652;43597;0.147600250824187;"2021-12-07"
"ФК \МТМ\ Олександрівського району";"загальновиробничі";208;208;0;"2021-12-07"
"ФК \МТМ\ Заводського району";"виробництво тепла";4198;4210.6;0.300142925202485;"2021-12-07"
"ФК \МТМ\ Заводського району";"транспортування тепла";10123;10190;0.661859132668186;"2021-12-07"
"ФК \МТМ\ Заводського району";"загальновиробничі";522;522;0;"2021-12-07"
"ФК \МТМ\ Комунарського району";"виробництво тепла";11678;12073;3.38242849803048;"2021-12-07"
"ФК \МТМ\ Комунарського району";"транспортування тепла";15672;16145;3.0181214905564;"2021-12-07"
"ФК \МТМ\ Комунарського району";"загальновиробничі";552;522;-5.43478260869565;"2021-12-07"
"ФК \МТМ\ Дніпровського району";"виробництво тепла";7067;7140.4;1.03863025328996;"2021-12-07"
"ФК \МТМ\ Дніпровського району";"транспортування тепла";39076;40190;2.85085474460027;"2021-12-07"
"ФК \МТМ\ Дніпровського району";"загальновиробничі";260;260;0;"2021-12-07"
"ФК \МТМ\ Вознесенівського району";"виробництво тепла";11152;11408;2.29555236728838;"2021-12-07"
"ФК \МТМ\ Вознесенівського району";"транспортування тепла";65132;66456;2.03279493950745;"2021-12-07"
"ФК \МТМ\ Вознесенівського району";"загальновиробничі";358;358;0;"2021-12-07"
"ФК \МТМ\ Хортицького району";"виробництво тепла";6391;6587;3.06681270536693;"2021-12-07"
"ФК \МТМ\ Хортицького району";"транспортування тепла";29974;30963;3.2995262560886;"2021-12-07"
"ФК \МТМ\ Хортицького району";"загальновиробничі";456;456;0;"2021-12-07"
"ФК \МТМ\ Шевченківського район";"виробництво тепла";5411;5474.99999999989;1.18277582701696;"2021-12-07"
"ФК \МТМ\ Шевченківського район";"транспортування тепла";21826;21892;0.302391642994593;"2021-12-07"
"ФК \МТМ\ Шевченківського район";"загальновиробничі";265;265;0;"2021-12-07"
"ФК \МТМ\ Олександрівського району";"виробництво тепла";6296;6421.19999999997;1.98856416772504;"2021-12-08"
"ФК \МТМ\ Олександрівського району";"транспортування тепла";43532.7455583652;43597;0.147600250824187;"2021-12-08"
"ФК \МТМ\ Олександрівського району";"загальновиробничі";208;208;0;"2021-12-08"
"ФК \МТМ\ Заводського району";"виробництво тепла";4198;4303;2.50119104335398;"2021-12-08"
"ФК \МТМ\ Заводського району";"транспортування тепла";10123;10190;0.661859132668186;"2021-12-08"
"ФК \МТМ\ Заводського району";"загальновиробничі";522;522;0;"2021-12-08"
"ФК \МТМ\ Комунарського району";"виробництво тепла";11678;12131.0000000001;3.87908888508381;"2021-12-08"
"ФК \МТМ\ Комунарського району";"транспортування тепла";15672;16145;3.0181214905564;"2021-12-08"
"ФК \МТМ\ Комунарського району";"загальновиробничі";552;522;-5.43478260869565;"2021-12-08"
"ФК \МТМ\ Дніпровського району";"виробництво тепла";7267;7432.8;2.28154671804039;"2021-12-08"
"ФК \МТМ\ Дніпровського району";"транспортування тепла";39076;40190;2.85085474460027;"2021-12-08"
"ФК \МТМ\ Дніпровського району";"загальновиробничі";260;260;0;"2021-12-08"
"ФК \МТМ\ Вознесенівського району";"виробництво тепла";11052;11248.8;1.78067318132467;"2021-12-08"
"ФК \МТМ\ Вознесенівського району";"транспортування тепла";65132;66456;2.03279493950745;"2021-12-08"
"ФК \МТМ\ Вознесенівського району";"загальновиробничі";358;358;0;"2021-12-08"
"ФК \МТМ\ Хортицького району";"виробництво тепла";6672;6826.99999999985;2.32314148680837;"2021-12-08"
"ФК \МТМ\ Хортицького району";"транспортування тепла";29974;30963;3.2995262560886;"2021-12-08"
"ФК \МТМ\ Хортицького району";"загальновиробничі";456;456;0;"2021-12-08"
"ФК \МТМ\ Шевченківського район";"виробництво тепла";5211;5265.00000000003;1.03626943005237;"2021-12-08"
"ФК \МТМ\ Шевченківського район";"транспортування тепла";21826;21892;0.302391642994593;"2021-12-08"
"ФК \МТМ\ Шевченківського район";"загальновиробничі";265;265;0;"2021-12-08"
"ФК \МТМ\ Олександрівського району";"виробництво тепла";6796;6887.59999999995;1.34785167745655;"2021-12-09"
"ФК \МТМ\ Олександрівського району";"транспортування тепла";43532.7455583652;43597;0.147600250824187;"2021-12-09"
"ФК \МТМ\ Олександрівського району";"загальновиробничі";208;208;0;"2021-12-09"
"ФК \МТМ\ Заводського району";"виробництво тепла";4651;4704.4;1.14814018490645;"2021-12-09"
"ФК \МТМ\ Заводського району";"транспортування тепла";10123;10190;0.661859132668186;"2021-12-09"
"ФК \МТМ\ Заводського району";"загальновиробничі";522;522;0;"2021-12-09"
"ФК \МТМ\ Комунарського району";"виробництво тепла";11678;12162.2;4.14625792087724;"2021-12-09"
"ФК \МТМ\ Комунарського району";"транспортування тепла";15672;16145;3.0181214905564;"2021-12-09"
"ФК \МТМ\ Комунарського району";"загальновиробничі";552;522;-5.43478260869565;"2021-12-09"
"ФК \МТМ\ Дніпровського району";"виробництво тепла";7267;7381.8;1.57974404843819;"2021-12-09"
"ФК \МТМ\ Дніпровського району";"транспортування тепла";39076;40190;2.85085474460027;"2021-12-09"
"ФК \МТМ\ Дніпровського району";"загальновиробничі";260;260;0;"2021-12-09"
"ФК \МТМ\ Вознесенівського району";"виробництво тепла";11182;11483.3;2.69450903237349;"2021-12-09"
"ФК \МТМ\ Вознесенівського району";"транспортування тепла";65132;66456;2.03279493950745;"2021-12-09"
"ФК \МТМ\ Вознесенівського району";"загальновиробничі";358;358;0;"2021-12-09"
"ФК \МТМ\ Хортицького району";"виробництво тепла";6612;6723;1.67876588021778;"2021-12-09"
"ФК \МТМ\ Хортицького району";"транспортування тепла";29974;30963;3.2995262560886;"2021-12-09"
"ФК \МТМ\ Хортицького району";"загальновиробничі";456;456;0;"2021-12-09"
"ФК \МТМ\ Шевченківського район";"виробництво тепла";5563;5619.00000000008;1.00665108754419;"2021-12-09"
"ФК \МТМ\ Шевченківського район";"транспортування тепла";21826;21892;0.302391642994593;"2021-12-09"
"ФК \МТМ\ Шевченківського район";"загальновиробничі";265;265;0;"2021-12-09"
"ФК \МТМ\ Олександрівського району";"виробництво тепла";4687;5530.4;17.9944527416258;"2021-11-08"
"ФК \МТМ\ Олександрівського району";"транспортування тепла";12786;11736;-8.21210699202253;"2021-11-08"
"ФК \МТМ\ Олександрівського району";"загальновиробничі";208;208;0;"2021-11-08"
"ФК \МТМ\ Заводського району";"виробництво тепла";2308;2710.6;17.4436741767764;"2021-11-08"
"ФК \МТМ\ Заводського району";"транспортування тепла";7876;10248;30.1168105637379;"2021-11-08"
"ФК \МТМ\ Заводського району";"загальновиробничі";522;522;0;"2021-11-08"
"ФК \МТМ\ Комунарського району";"виробництво тепла";5276;6185.6;17.2403335860501;"2021-11-08"
"ФК \МТМ\ Комунарського району";"транспортування тепла";10725;15376;43.3659673659674;"2021-11-08"
"ФК \МТМ\ Комунарського району";"загальновиробничі";552;522;-5.43478260869565;"2021-11-08"
"ФК \МТМ\ Дніпровського району";"виробництво тепла";6537;7466.40000000002;14.217530977513;"2021-11-08"
"ФК \МТМ\ Дніпровського району";"транспортування тепла";35214;37656;6.93474186403136;"2021-11-08"
"ФК \МТМ\ Дніпровського району";"загальновиробничі";260;260;0;"2021-11-08"
"ФК \МТМ\ Вознесенівського району";"виробництво тепла";9078;13517.5;48.9039435999119;"2021-11-08"
"ФК \МТМ\ Вознесенівського району";"транспортування тепла";50961;53091;4.17966680402662;"2021-11-08"
"ФК \МТМ\ Вознесенівського району";"загальновиробничі";358;358;0;"2021-11-08"
"ФК \МТМ\ Хортицького району";"виробництво тепла";7567;9370.99999999985;23.8403594555287;"2021-11-08"
"ФК \МТМ\ Хортицького району";"транспортування тепла";25123;30963;23.2456314930542;"2021-11-08"
"ФК \МТМ\ Хортицького району";"загальновиробничі";456;456;0;"2021-11-08"
"ФК \МТМ\ Шевченківського район";"виробництво тепла";5781;7410.00000000022;28.1785158277152;"2021-11-08"
"ФК \МТМ\ Шевченківського район";"транспортування тепла";16987;22987;35.3211279213516;"2021-11-08"
"ФК \МТМ\ Шевченківського район";"загальновиробничі";265;265;0;"2021-11-08"
"ФК \МТМ\ Олександрівського району";"виробництво тепла";4687;5611.8;19.7311713249413;"2021-11-09"
"ФК \МТМ\ Олександрівського району";"транспортування тепла";12786;13021;1.83794775535742;"2021-11-09"
"ФК \МТМ\ Олександрівського району";"загальновиробничі";208;208;0;"2021-11-09"
"ФК \МТМ\ Заводського району";"виробництво тепла";2308;2963.2;28.3882149046794;"2021-11-09"
"ФК \МТМ\ Заводського району";"транспортування тепла";7876;10248;30.1168105637379;"2021-11-09"
"ФК \МТМ\ Заводського району";"загальновиробничі";522;522;0;"2021-11-09"
"ФК \МТМ\ Комунарського району";"виробництво тепла";5276;6792.8;28.7490523123578;"2021-11-09"
"ФК \МТМ\ Комунарського району";"транспортування тепла";10725;15376;43.3659673659674;"2021-11-09"
"ФК \МТМ\ Комунарського району";"загальновиробничі";552;522;-5.43478260869565;"2021-11-09"
"ФК \МТМ\ Дніпровського району";"виробництво тепла";6537;7675.2;17.4116567232676;"2021-11-09"
"ФК \МТМ\ Дніпровського району";"транспортування тепла";35214;38856;10.3424774237519;"2021-11-09"
"ФК \МТМ\ Дніпровського району";"загальновиробничі";260;260;0;"2021-11-09"
"ФК \МТМ\ Вознесенівського району";"виробництво тепла";9078;13699;50.9032826613792;"2021-11-09"
"ФК \МТМ\ Вознесенівського району";"транспортування тепла";50961;54567;7.07599929357745;"2021-11-09"
"ФК \МТМ\ Вознесенівського району";"загальновиробничі";358;358;0;"2021-11-09"
"ФК \МТМ\ Хортицького району";"виробництво тепла";7567;9851;30.1836923483547;"2021-11-09"
"ФК \МТМ\ Хортицького району";"транспортування тепла";25123;30963;23.2456314930542;"2021-11-09"
"ФК \МТМ\ Хортицького району";"загальновиробничі";456;456;0;"2021-11-09"
"ФК \МТМ\ Шевченківського район";"виробництво тепла";5781;7101.99999999983;22.8507178688779;"2021-11-09"
"ФК \МТМ\ Шевченківського район";"транспортування тепла";16987;18987;11.7737093071172;"2021-11-09"
"ФК \МТМ\ Шевченківського район";"загальновиробничі";265;265;0;"2021-11-09"
"ФК \МТМ\ Олександрівського району";"виробництво тепла";4687;5914.8;26.1958608918284;"2021-11-10"
"ФК \МТМ\ Олександрівського району";"транспортування тепла";13905;14132;1.63250629270046;"2021-11-10"
"ФК \МТМ\ Олександрівського району";"загальновиробничі";208;208;0;"2021-11-10"
"ФК \МТМ\ Заводського району";"виробництво тепла";2308;3127.6;35.5112651646447;"2021-11-10"
"ФК \МТМ\ Заводського району";"транспортування тепла";7876;10248;30.1168105637379;"2021-11-10"
"ФК \МТМ\ Заводського району";"загальновиробничі";522;522;0;"2021-11-10"
"ФК \МТМ\ Комунарського району";"виробництво тепла";5276;6815.6;29.1811978771797;"2021-11-10"
"ФК \МТМ\ Комунарського району";"транспортування тепла";10725;15376;43.3659673659674;"2021-11-10"
"ФК \МТМ\ Комунарського району";"загальновиробничі";552;522;-5.43478260869565;"2021-11-10"
"ФК \МТМ\ Дніпровського району";"виробництво тепла";6537;7898.19999999995;20.8230074957925;"2021-11-10"
"ФК \МТМ\ Дніпровського району";"транспортування тепла";35214;38856;10.3424774237519;"2021-11-10"
"ФК \МТМ\ Дніпровського району";"загальновиробничі";260;260;0;"2021-11-10"
"ФК \МТМ\ Вознесенівського району";"виробництво тепла";9078;14190.9;56.3218770654329;"2021-11-10"
"ФК \МТМ\ Вознесенівського району";"транспортування тепла";53234;55720;4.66994777773604;"2021-11-10"
"ФК \МТМ\ Вознесенівського району";"загальновиробничі";358;358;0;"2021-11-10"
"ФК \МТМ\ Хортицького району";"виробництво тепла";7567;11691;54.4998017708471;"2021-11-10"
"ФК \МТМ\ Хортицького району";"транспортування тепла";25475;30963;21.5426889106968;"2021-11-10"
"ФК \МТМ\ Хортицького району";"загальновиробничі";456;456;0;"2021-11-10"
"ФК \МТМ\ Шевченківського район";"виробництво тепла";5781;7425.99999999997;28.455284552845;"2021-11-10"
"ФК \МТМ\ Шевченківського район";"транспортування тепла";16987;18987;11.7737093071172;"2021-11-10"
"ФК \МТМ\ Шевченківського район";"загальновиробничі";265;265;0;"2021-11-10"
"ФК \МТМ\ Олександрівського району";"виробництво тепла";4687;6082.6;29.7759761041178;"2021-11-11"
"ФК \МТМ\ Олександрівського району";"транспортування тепла";18445;18145;-1.62645703442668;"2021-11-11"
"ФК \МТМ\ Олександрівського району";"загальновиробничі";208;208;0;"2021-11-11"
"ФК \МТМ\ Заводського району";"виробництво тепла";2308;3270.4;41.6984402079723;"2021-11-11"
"ФК \МТМ\ Заводського району";"транспортування тепла";8295;10248;23.5443037974683;"2021-11-11"
"ФК \МТМ\ Заводського району";"загальновиробничі";522;522;0;"2021-11-11"
"ФК \МТМ\ Комунарського району";"виробництво тепла";5276;6881;30.420773313116;"2021-11-11"
"ФК \МТМ\ Комунарського району";"транспортування тепла";10872;15376;41.4275202354673;"2021-11-11"
"ФК \МТМ\ Комунарського району";"загальновиробничі";552;522;-5.43478260869565;"2021-11-11"
"ФК \МТМ\ Дніпровського району";"виробництво тепла";6537;7861.39999999999;20.2600581306408;"2021-11-11"
"ФК \МТМ\ Дніпровського району";"транспортування тепла";35214;38856;10.3424774237519;"2021-11-11"
"ФК \МТМ\ Дніпровського району";"загальновиробничі";260;260;0;"2021-11-11"
"ФК \МТМ\ Вознесенівського району";"виробництво тепла";9078;14600.4;60.8327825512227;"2021-11-11"
"ФК \МТМ\ Вознесенівського району";"транспортування тепла";58234;59720;2.55177387780334;"2021-11-11"
"ФК \МТМ\ Вознесенівського району";"загальновиробничі";358;358;0;"2021-11-11"
"ФК \МТМ\ Хортицького району";"виробництво тепла";7567;10019;32.4038588608431;"2021-11-11"
"ФК \МТМ\ Хортицького району";"транспортування тепла";25475;30963;21.5426889106968;"2021-11-11"
"ФК \МТМ\ Хортицького району";"загальновиробничі";456;456;0;"2021-11-11"
"ФК \МТМ\ Шевченківського район";"виробництво тепла";5781;7401.00000000013;28.0228334198259;"2021-11-11"
"ФК \МТМ\ Шевченківського район";"транспортування тепла";14532;16789;15.5312413982934;"2021-11-11"
"ФК \МТМ\ Шевченківського район";"загальновиробничі";265;265;0;"2021-11-11"
"ФК \МТМ\ Олександрівського району";"виробництво тепла";6996;7156.00000000008;2.28702115494683;"2021-12-10"
"ФК \МТМ\ Олександрівського району";"транспортування тепла";43532.7455583652;43597;0.147600250824187;"2021-12-10"
"ФК \МТМ\ Олександрівського району";"загальновиробничі";208;208;0;"2021-12-10"
"ФК \МТМ\ Заводського району";"виробництво тепла";4671;4706;0.749304217512314;"2021-12-10"
"ФК \МТМ\ Заводського району";"транспортування тепла";10123;10190;0.661859132668186;"2021-12-10"
"ФК \МТМ\ Заводського району";"загальновиробничі";522;522;0;"2021-12-10"
"ФК \МТМ\ Комунарського району";"виробництво тепла";11678;11924.2000000002;2.108237711939;"2021-12-10"
"ФК \МТМ\ Комунарського району";"транспортування тепла";15672;16145;3.0181214905564;"2021-12-10"
"ФК \МТМ\ Комунарського району";"загальновиробничі";552;522;-5.43478260869565;"2021-12-10"
"ФК \МТМ\ Дніпровського району";"виробництво тепла";7087;7166;1.11471708762523;"2021-12-10"
"ФК \МТМ\ Дніпровського району";"транспортування тепла";39076;40190;2.85085474460027;"2021-12-10"
"ФК \МТМ\ Дніпровського району";"загальновиробничі";260;260;0;"2021-12-10"
"ФК \МТМ\ Вознесенівського району";"виробництво тепла";9882;10085.7;2.06132361870064;"2021-12-10"
"ФК \МТМ\ Вознесенівського району";"транспортування тепла";65132;66456;2.03279493950745;"2021-12-10"
"ФК \МТМ\ Вознесенівського району";"загальновиробничі";358;358;0;"2021-12-10"
"ФК \МТМ\ Хортицького району";"виробництво тепла";4128;4243;2.78585271317831;"2021-12-10"
"ФК \МТМ\ Хортицького району";"транспортування тепла";29974;30963;3.2995262560886;"2021-12-10"
"ФК \МТМ\ Хортицького району";"загальновиробничі";456;456;0;"2021-12-10"
"ФК \МТМ\ Шевченківського район";"виробництво тепла";5563;5567.99999999991;0.0898795613861747;"2021-12-10"
"ФК \МТМ\ Шевченківського район";"транспортування тепла";21826;21892;0.302391642994593;"2021-12-10"
"ФК \МТМ\ Шевченківського район";"загальновиробничі";265;265;0;"2021-12-10"
"ФК \МТМ\ Олександрівського району";"виробництво тепла";6696;6835.99999999992;2.09080047789605;"2021-12-11"
"ФК \МТМ\ Олександрівського району";"транспортування тепла";43532.7455583652;43597;0.147600250824187;"2021-12-11"
"ФК \МТМ\ Олександрівського району";"загальновиробничі";208;208;0;"2021-12-11"
"ФК \МТМ\ Заводського району";"виробництво тепла";4671;4706;0.749304217512314;"2021-12-11"
"ФК \МТМ\ Заводського району";"транспортування тепла";10123;10190;0.661859132668186;"2021-12-11"
"ФК \МТМ\ Заводського району";"загальновиробничі";522;522;0;"2021-12-11"
"ФК \МТМ\ Комунарського району";"виробництво тепла";11678;11924.2000000002;2.108237711939;"2021-12-11"
"ФК \МТМ\ Комунарського району";"транспортування тепла";15672;16145;3.0181214905564;"2021-12-11"
"ФК \МТМ\ Комунарського району";"загальновиробничі";552;522;-5.43478260869565;"2021-12-11"
"ФК \МТМ\ Дніпровського району";"виробництво тепла";9387;9547.2;1.70661553211886;"2021-12-11"
"ФК \МТМ\ Дніпровського району";"транспортування тепла";39076;40190;2.85085474460027;"2021-12-11"
"ФК \МТМ\ Дніпровського району";"загальновиробничі";260;260;0;"2021-12-11"
"ФК \МТМ\ Вознесенівського району";"виробництво тепла";9882;10085.7;2.06132361870064;"2021-12-11"
"ФК \МТМ\ Вознесенівського району";"транспортування тепла";65132;66456;2.03279493950745;"2021-12-11"
"ФК \МТМ\ Вознесенівського району";"загальновиробничі";358;358;0;"2021-12-11"
"ФК \МТМ\ Хортицького району";"виробництво тепла";4928;5042.9999999992;2.33360389608765;"2021-12-11"
"ФК \МТМ\ Хортицького району";"транспортування тепла";29974;30963;3.2995262560886;"2021-12-11"
