"networkwater_calc";"networkwater_actual";"makeupwater_calc";"makeupwater_min";"makeupwater_actual";"supplytemp_calc";"supplytemp_actual";"supplytemp_diff";"returntemp_calc";"returntemp_actual";"returntemp_diff";"gvstemp_actual";"dailyconsumption_plan";"dailyconsumption_actual";"saving_overspending";"scored_request";"deviationfromplan";"supplycollectors_actual";"specificfuel_actual";"date";"filia";"boiler";"fuel"
1430;1463.8;11.2;7.5;11;82;68.5;13.5;51.9;44.5;7.4;59.3;130078;127985;2093;130078;-1.6;975.3;131.2;2022-01-25;"ФК ГТС Вознесеновского р-на";"пр. Металургів, 32";"газ"
1430;1461.3;11.2;7.5;10.5;75.8;69.5;6.3;49;45.2;3.8;59;130078;129765;313;133003;-2.5;984.9;131.8;2022-01-24;"ФК ГТС Вознесеновского р-на";"пр. Металургів, 32";"газ"
1430;1459.8;11.2;7.5;10.8;74;70.3;3.7;48.3;45.9;2.4;60;133003;129494;3509;133003;-2.7;976.5;132.6;2022-01-23;"ФК ГТС Вознесеновского р-на";"пр. Металургів, 32";"газ"
1430;1456.3;11.2;7.5;11.3;73.8;70.1;3.7;48.2;45.3;2.9;60;130078;128880;1198;128300;0.5;980.7;131.4;2022-01-22;"ФК ГТС Вознесеновского р-на";"пр. Металургів, 32";"газ"
1430;1460.3;11.2;7.5;12;68.6;66.2;2.4;45.6;43.9;1.7;59.8;121304;118752;2552;121304;-2.1;902.1;131.6;2022-01-21;"ФК ГТС Вознесеновского р-на";"пр. Металургів, 32";"газ"
98.1;97;0.1;0.1;0;62.2;0;62.2;49.4;0;49.4;57;3230;0;3230;0;0;0;0;2022-01-31;"ФК ГТС Вознесеновского р-на";"вул. Наукове містечко, 52";"газ"
98.1;96;0.1;0.1;0.1;58.3;52.2;6.1;46.9;40.6;6.3;57.1;3440;3295;145;3440;-4.4;0;0;2022-01-30;"ФК ГТС Вознесеновского р-на";"вул. Наукове містечко, 52";"газ"
98.1;94;0.1;0.1;0;56.5;0;56.5;45.6;0;45.6;0;3230;3007;223;3230;-7.4;0;0;2022-01-29;"ФК ГТС Вознесеновского р-на";"вул. Наукове містечко, 52";"газ"
98.1;94;0.1;0.1;0.1;63.1;55.7;7.4;50;43.8;6.2;61.2;3692;3658;34;3692;-0.9;0;0;2022-01-28;"ФК ГТС Вознесеновского р-на";"вул. Наукове містечко, 52";"газ"
98.1;96;0.1;0.1;0.1;69.8;59.9;9.9;54.3;45.2;9.1;58.5;4279;4195;84;4250;-1.3;28.8;145.7;2022-01-27;"ФК ГТС Вознесеновского р-на";"вул. Наукове містечко, 52";"газ"
98.1;98;0.1;0.1;0.1;69.4;59.9;9.5;54;46.5;7.5;58.1;4279;4213;66;4270;-1.4;0;0;2022-01-26;"ФК ГТС Вознесеновского р-на";"вул. Наукове містечко, 52";"газ"
98.1;97;0.1;0.1;0.1;70.3;59.3;11;54.6;44.7;9.9;54.1;4174;4158;16;4174;-0.4;28.8;144.4;2022-01-25;"ФК ГТС Вознесеновского р-на";"вул. Наукове містечко, 52";"газ"
98.1;98;0.1;0.1;0.1;65.7;59.3;6.4;51.6;46.3;5.3;57;4174;4140;34;4279;-3.4;28.8;143.8;2022-01-24;"ФК ГТС Вознесеновского р-на";"вул. Наукове містечко, 52";"газ"
98.1;96;0.1;0.1;0.1;64;60.3;3.7;50.6;45.6;5;57.8;4279;4253;26;4279;-0.6;28.8;147.7;2022-01-23;"ФК ГТС Вознесеновского р-на";"вул. Наукове містечко, 52";"газ"
98.1;96;0.1;0.1;0.1;63.9;60;3.9;50.5;46.2;4.3;59;4174;4061;113;4100;-1;28.8;141;2022-01-22;"ФК ГТС Вознесеновского р-на";"вул. Наукове містечко, 52";"газ"
98.1;96;0.1;0.1;0.1;59.8;57.3;2.5;47.8;44.1;3.7;57.5;3859;3793;66;3859;-1.7;26.4;143.7;2022-01-21;"ФК ГТС Вознесеновского р-на";"вул. Наукове містечко, 52";"газ"
2415;2384;8.9;7.5;15.5;75;70.5;4.5;46.3;41;5.3;60;228069;0;228069;0;0;1868.4;0;2022-01-31;"ФК ГТС Хортицкого р-на";"вул. В.Сергієнка, 7";"газ"
2415;2483.5;8.9;7.5;8.1;69.8;63.6;6.2;44.1;39;5.1;60;222893;222121;772;222893;-0.3;1868.4;118.9;2022-01-30;"ФК ГТС Хортицкого р-на";"вул. В.Сергієнка, 7";"газ"
2415;2469;8.9;7.5;9.1;67.3;61.8;5.5;43;38.5;4.5;60;210910;206200;210000;210000;-1.8;1868.4;110.4;2022-01-29;"ФК ГТС Хортицкого р-на";"вул. В.Сергієнка, 7";"газ"
2415;2477;8.9;7.5;9.4;76.3;68.3;8;46.8;41.1;5.7;60;237248;237198;50;237248;0;1868.4;127;2022-01-28;"ФК ГТС Хортицкого р-на";"вул. В.Сергієнка, 7";"газ"
2415;2390;8.9;7.5;7.7;85.3;75.5;9.8;50.5;43;7.5;60;271493;271086;407;271493;-0.2;2042.1;132.7;2022-01-27;"ФК ГТС Хортицкого р-на";"вул. В.Сергієнка, 7";"газ"
2415;2409.3;8.9;7.5;8.9;84.8;73.8;11;50.3;41.8;8.5;60;271213;270729;484;271213;-0.2;1868.4;144.9;2022-01-26;"ФК ГТС Хортицкого р-на";"вул. В.Сергієнка, 7";"газ"
2415;2383;8.9;7.5;15.4;86;71.1;14.9;50.8;41.3;9.5;59.5;264974;264767;207;264974;-0.1;1909.5;138.7;2022-01-25;"ФК ГТС Хортицкого р-на";"вул. В.Сергієнка, 7";"газ"
2415;2420;8.9;7.5;13.5;79.7;73.4;6.3;48.3;42.5;5.8;60;264627;264600;27;270740;-2.3;1978.2;133.8;2022-01-24;"ФК ГТС Хортицкого р-на";"вул. В.Сергієнка, 7";"газ"
2415;2428;8.9;7.5;8.3;77.5;74;3.5;47.3;43.3;4;59.8;270878;270774;104;270878;0;2043.6;132.5;2022-01-23;"ФК ГТС Хортицкого р-на";"вул. В.Сергієнка, 7";"газ"
2415;2454;8.9;7.5;8.6;77.3;73.4;3.9;47.2;42.8;4.4;60;264722;264417;305;264722;-0.1;1997.4;132.4;2022-01-22;"ФК ГТС Хортицкого р-на";"вул. В.Сергієнка, 7";"газ"
2415;2452;8.9;7.5;7.8;71.8;68.1;3.7;45;41.3;3.7;60;245741;230905;14836;245000;-6.1;1767.6;130.6;2022-01-21;"ФК ГТС Хортицкого р-на";"вул. В.Сергієнка, 7";"газ"
0;0;0;0;0;56.5;61.4;-4.9;46.3;47.8;-1.5;55.8;488;0;488;0;0;0;0;2022-01-31;"ФК ГТС Хортицкого р-на";"вул. Хортицьке шосе, 4 (дахова)";"газ"
0;0;0;0;0;53.2;47.4;5.8;44;39.5;4.5;55.8;514;514;0;514;0;0;0;2022-01-30;"ФК ГТС Хортицкого р-на";"вул. Хортицьке шосе, 4 (дахова)";"газ"
0;0;0;0;0;51.5;46.1;5.4;42.9;38.7;4.2;56;488;480;8;487;-1.5;0;0;2022-01-29;"ФК ГТС Хортицкого р-на";"вул. Хортицьке шосе, 4 (дахова)";"газ"
0;0;0;0;0;57.3;46;11.3;46.8;38.8;8;55.6;545;487;58;545;-11.9;0;0;2022-01-28;"ФК ГТС Хортицкого р-на";"вул. Хортицьке шосе, 4 (дахова)";"газ"
0;0;0;0;0;63.1;55.8;7.3;50.7;45.9;4.8;55.7;618;620;-2;618;0.3;4.1;152.7;2022-01-27;"ФК ГТС Хортицкого р-на";"вул. Хортицьке шосе, 4 (дахова)";"газ"
0;0;0;0;0;62.8;56;6.8;50.5;44.7;5.8;55;618;626;-8;618;1.3;0;0;2022-01-26;"ФК ГТС Хортицкого р-на";"вул. Хортицьке шосе, 4 (дахова)";"газ"
0;0;0;0;0;63.6;68.7;-5.1;51;46.5;4.5;55.8;605;667;-62;605;9.3;4.3;154.4;2022-01-25;"ФК ГТС Хортицкого р-на";"вул. Хортицьке шосе, 4 (дахова)";"газ"
0;0;0;0;0;59.5;59;0.5;48.3;46.5;1.8;56.1;605;663;-58;618;6.8;4.4;151.7;2022-01-24;"ФК ГТС Хортицкого р-на";"вул. Хортицьке шосе, 4 (дахова)";"газ"
0;0;0;0;0;58.1;54.2;3.9;47.4;43.4;4;55.5;618;623;-5;618;0.8;4;154.6;2022-01-23;"ФК ГТС Хортицкого р-на";"вул. Хортицьке шосе, 4 (дахова)";"газ"
0;0;0;0;0;58;50.9;7.1;47.2;41.6;5.6;56;605;547;58;605;-10.6;3.6;152.8;2022-01-22;"ФК ГТС Хортицкого р-на";"вул. Хортицьке шосе, 4 (дахова)";"газ"
0;0;0;0;0;54.5;51.1;3.4;44.9;41.7;3.2;56;566;547;19;565;-3.3;3.6;151.9;2022-01-21;"ФК ГТС Хортицкого р-на";"вул. Хортицьке шосе, 4 (дахова)";"газ"
860;947;3.1;2.1;2.2;76.4;72.6;3.8;41.4;39.6;1.8;59;87639;0;87639;0;0;838.8;0;2022-01-31;"ФК ГТС Шевченковского р-на";"вул. Цитрусова, 9";"газ"
860;939.3;3.1;2.1;2;71.1;63.6;7.5;39.7;36.8;2.9;59;84444;84099;345;84444;-0.4;838.8;100.3;2022-01-30;"ФК ГТС Шевченковского р-на";"вул. Цитрусова, 9";"газ"
860;936.8;3.1;2.1;2.3;68.5;61.3;7.2;38.9;36.4;2.5;59.8;79922;79675;247;79922;-0.3;838.8;95;2022-01-29;"ФК ГТС Шевченковского р-на";"вул. Цитрусова, 9";"газ"
860;937.3;3.1;2.1;2.7;77.8;67.2;10.6;41.9;39.4;2.5;58;91161;87372;3789;87500;-0.1;838.8;104.2;2022-01-28;"ФК ГТС Шевченковского р-на";"вул. Цитрусова, 9";"газ"
860;939.3;3.1;2.1;2.4;88.1;74.5;13.6;45.7;41.6;4.1;58.8;104295;104219;76;104295;-0.1;855.9;121.8;2022-01-27;"ФК ГТС Шевченковского р-на";"вул. Цитрусова, 9";"газ"
860;943.3;3.1;2.1;2.5;87.5;74.3;13.2;45.5;40.2;5.3;59;104465;104303;162;104465;-0.2;838.8;124.3;2022-01-26;"ФК ГТС Шевченковского р-на";"вул. Цитрусова, 9";"газ"
860;945.8;3.1;2.1;2.6;88.9;72.6;16.3;46;39.7;6.3;59.5;101852;100371;1481;101852;-1.5;829.2;121;2022-01-25;"ФК ГТС Шевченковского р-на";"вул. Цитрусова, 9";"газ"
860;932.3;3.1;2.1;2.7;81.5;74.3;7.2;43.2;40.5;2.7;59.3;101572;101568;4;103991;-2.4;843.9;120.4;2022-01-24;"ФК ГТС Шевченковского р-на";"вул. Цитрусова, 9";"газ"
860;932;3.1;2.1;2.6;79.1;74.6;4.5;42.3;42.8;-0.5;59.5;106239;103909;2330;104878;-0.9;865.8;120;2022-01-23;"ФК ГТС Шевченковского р-на";"вул. Цитрусова, 9";"газ"
860;927.3;3.1;2.1;2;78.8;73.4;5.4;42.2;39.9;2.3;59;102459;102297;162;102459;-0.2;792.9;129;2022-01-22;"ФК ГТС Шевченковского р-на";"вул. Цитрусова, 9";"газ"
860;937;3.1;2.1;3;73;69.7;3.3;40.3;39.6;0.7;58.5;95008;92967;2041;95008;-2.2;766.2;121.3;2022-01-21;"ФК ГТС Шевченковского р-на";"вул. Цитрусова, 9";"газ"
410;253;1.6;1.6;3.6;76.7;71;5.7;47.2;40;7.2;60;33400;0;33400;0;0;213.6;0;2022-01-31;"ФК ГТС Шевченковского р-на";"вул. К.-Карого, 21б";"газ"
410;433.5;1.6;1.6;2;71.2;64.8;6.4;44.9;40;4.9;60;35477;35067;410;35477;-1.2;213.6;164.2;2022-01-30;"ФК ГТС Шевченковского р-на";"вул. К.-Карого, 21б";"газ"
410;432.5;1.6;1.6;2.2;68.6;62.5;6.1;43.7;40;3.7;59.5;33400;32690;710;33400;-2.2;213.6;153;2022-01-29;"ФК ГТС Шевченковского р-на";"вул. К.-Карого, 21б";"газ"
410;429;1.6;1.6;2.1;78;68.8;9.2;47.8;42.5;5.3;60;37971;37531;440;37971;-1.2;213.6;175.7;2022-01-28;"ФК ГТС Шевченковского р-на";"вул. К.-Карого, 21б";"газ"
410;431.5;1.6;1.6;2;87.4;75.5;11.9;51.7;45;6.7;59.8;43788;43242;546;43788;-1.3;340.5;127;2022-01-27;"ФК ГТС Шевченковского р-на";"вул. К.-Карого, 21б";"газ"
410;427.5;1.6;1.6;2.8;86.9;75.3;11.6;51.5;44;7.5;60;43788;43653;135;43788;-0.3;213.6;204.4;2022-01-26;"ФК ГТС Шевченковского р-на";"вул. К.-Карого, 21б";"газ"
410;332.5;1.6;1.6;5;88.1;68.8;19.3;52;41.5;10.5;59.8;42749;33108;9641;42749;-29.1;257.7;128.5;2022-01-25;"ФК ГТС Шевченковского р-на";"вул. К.-Карого, 21б";"газ"
410;406.3;1.6;1.6;4;81.5;74.5;7;49.3;43.5;5.8;60;42749;40892;1857;42500;-3.9;326.2;125.4;2022-01-24;"ФК ГТС Шевченковского р-на";"вул. К.-Карого, 21б";"газ"
410;407.5;1.6;1.6;3.9;79.2;76.3;2.9;48.3;44.3;4;59.8;43788;42646;1142;43468;-1.9;337.2;126.5;2022-01-23;"ФК ГТС Шевченковского р-на";"вул. К.-Карого, 21б";"газ"
410;404;1.6;1.6;4.9;79;75;4;48.2;43.3;4.9;60;42749;42110;639;42749;-1.5;331.5;127;2022-01-22;"ФК ГТС Шевченковского р-на";"вул. К.-Карого, 21б";"газ"
410;407.5;1.6;1.6;5.6;73.3;70;3.3;45.8;41.8;4;59.8;39633;37648;1985;39633;-5.3;301.8;124.7;2022-01-21;"ФК ГТС Шевченковского р-на";"вул. К.-Карого, 21б";"газ"
231;220;0.2;0.1;0.4;67.7;0;67.7;49.8;0;49.8;59.9;12674;0;12674;0;0;0;0;2022-01-31;"ФК ГТС Шевченковского р-на";"вул. Військбуд, 124б";"газ"
231;217;0.2;0.1;0.1;63.3;57.7;5.6;47.3;39.5;7.8;59.9;13440;13186;254;13440;-1.9;0;0;2022-01-30;"ФК ГТС Шевченковского р-на";"вул. Військбуд, 124б";"газ"
231;215;0.2;0.1;0.1;61.4;57.2;4.2;46.2;39.2;7;59;12674;12239;435;12674;-3.6;0;0;2022-01-29;"ФК ГТС Шевченковского р-на";"вул. Військбуд, 124б";"газ"
231;225;0.2;0.1;0.1;68.8;60;8.8;50.4;40.1;10.3;59;14360;13543;817;14360;-6;0;0;2022-01-28;"ФК ГТС Шевченковского р-на";"вул. Військбуд, 124б";"газ"
231;225;0.2;0.1;0.2;76.3;66;10.3;54.6;44;10.6;60;16507;16290;217;16507;-1.3;123.1;132.3;2022-01-27;"ФК ГТС Шевченковского р-на";"вул. Військбуд, 124б";"газ"
231;225;0.2;0.1;0.1;75.9;66;9.9;54.4;43.5;10.9;60;16507;16162;345;16400;-1.5;0;0;2022-01-26;"ФК ГТС Шевченковского р-на";"вул. Військбуд, 124б";"газ"
231;220;0.2;0.1;0.4;76.9;64.8;12.1;55;42.9;12.1;59.9;16123;15849;274;16123;-1.7;123.1;128.7;2022-01-25;"ФК ГТС Шевченковского р-на";"вул. Військбуд, 124б";"газ"
231;220;0.2;0.1;0.2;71.6;64.8;6.8;52;42.6;9.4;60;16123;15697;426;16507;-5.2;112.3;139.8;2022-01-24;"ФК ГТС Шевченковского р-на";"вул. Військбуд, 124б";"газ"
231;216;0.2;0.1;0.1;69.8;65.8;4;50.9;43.4;7.5;59.9;16507;16136;371;16507;-2.3;123.6;130.6;2022-01-23;"ФК ГТС Шевченковского р-на";"вул. Військбуд, 124б";"газ"
231;216;0.2;0.1;0.2;69.6;65.5;4.1;50.8;43.8;7;60;16123;15015;1108;16050;-6.9;117.4;127.9;2022-01-22;"ФК ГТС Шевченковского р-на";"вул. Військбуд, 124б";"газ"
231;230;0.2;0.1;0.1;65;61.9;3.1;48.2;42;6.2;59.9;14974;13939;1035;14974;-7.4;0;0;2022-01-21;"ФК ГТС Шевченковского р-на";"вул. Військбуд, 124б";"газ"
111;109;0.3;0.1;0.3;62.2;0;62.2;49.4;0;49.4;0;3800;0;3800;0;0;0;0;2022-01-31;"ФК ГТС Шевченковского р-на";"пров. Зустрічний, 10";"газ"
111;107;0.3;0.1;3;58.3;53;5.3;46.8;41.8;5;0;4038;4025;13;4038;-0.3;0;0;2022-01-30;"ФК ГТС Шевченковского р-на";"пров. Зустрічний, 10";"газ"
111;107;0.3;0.1;0.3;56.6;51.8;4.8;45.8;41.5;4.3;0;3800;3785;15;3800;-0.4;0;0;2022-01-29;"ФК ГТС Шевченковского р-на";"пров. Зустрічний, 10";"газ"
111;107;0.3;0.1;0.3;63.1;56.2;6.9;50;44.4;5.6;0;4324;4198;126;4324;-3;0;0;2022-01-28;"ФК ГТС Шевченковского р-на";"пров. Зустрічний, 10";"газ"
111;106;0.3;0.1;0.3;69.8;60.2;9.6;54.2;46.8;7.4;0;4991;4916;75;4991;-1.5;34.6;142.2;2022-01-27;"ФК ГТС Шевченковского р-на";"пров. Зустрічний, 10";"газ"
111;109;0.3;0.1;0.2;69.4;61.3;8.1;54;47.5;6.5;0;4991;4988;3;4991;-0.1;0;0;2022-01-26;"ФК ГТС Шевченковского р-на";"пров. Зустрічний, 10";"газ"
111;109;0.3;0.1;0.3;70.3;59.3;11;54.6;41.2;13.4;0;4872;4850;22;4872;-0.5;34.1;142.3;2022-01-25;"ФК ГТС Шевченковского р-на";"пров. Зустрічний, 10";"газ"
111;107;0.3;0.1;0;65.6;59.4;6.2;51.6;46.1;5.5;0;4872;4882;-10;4991;-2.2;34.8;140.3;2022-01-24;"ФК ГТС Шевченковского р-на";"пров. Зустрічний, 10";"газ"
111;106;0.3;0.1;0.3;64;59.2;4.8;50.6;46.2;4.4;0;4991;4942;49;4991;-1;33.6;147.1;2022-01-23;"ФК ГТС Шевченковского р-на";"пров. Зустрічний, 10";"газ"
111;108;0.3;0.1;0.3;63.8;60;3.8;50.5;46.8;3.7;0;4872;4761;111;4872;-2.3;33.6;141.7;2022-01-22;"ФК ГТС Шевченковского р-на";"пров. Зустрічний, 10";"газ"
111;108;0.3;0.1;0.2;59;55.4;3.6;47.3;44.1;3.2;0;4514;4237;277;4514;-6.5;0;0;2022-01-21;"ФК ГТС Шевченковского р-на";"пров. Зустрічний, 10";"газ"
